name,budget,seed,mode,hgs_cost,grader_cost,opt,n_routes,kmin,opt_routes,feasible,valid_perm,wall,gap_pct
XML100_1261_07,10.0,43,free,21762,21762,21667,23,23,23,1,1,10.034,0.4384547930031846
XML100_1261_07,10.0,44,free,21934,21934,21667,23,23,23,1,1,10.019,1.2322887340194766
XML100_2272_02,2.0,42,free,9610,9610,9467,15,14,15,1,1,2.024,1.5105101933030527
XML100_3156_17,30.0,42,free,11091,11091,11091,4,4,4,1,1,30.024,0.0
XML100_3156_17,30.0,43,free,11091,11091,11091,4,4,4,1,1,30.024,0.0
XML100_2272_02,2.0,43,free,9667,9667,9467,14,14,15,1,1,2.019,2.1126016689553184
XML100_2272_02,2.0,44,free,9587,9587,9467,14,14,15,1,1,2.013,1.267561001373191
XML100_2272_02,5.0,42,free,9590,9590,9467,15,14,15,1,1,5.024,1.2992500264075209
XML100_2272_02,5.0,43,free,9510,9510,9467,14,14,15,1,1,5.025,0.4542093588253935
XML100_2272_02,5.0,44,free,9532,9532,9467,14,14,15,1,1,5.018,0.6865955424104785
XML100_3156_17,30.0,44,free,11091,11091,11091,4,4,4,1,1,30.039,0.0
XML100_2272_02,10.0,42,free,9574,9574,9467,15,14,15,1,1,10.021,1.1302418928910953
XML100_2272_02,10.0,43,free,9488,9488,9467,14,14,15,1,1,10.023,0.22182317524030845
XML100_2272_02,10.0,44,free,9492,9492,9467,14,14,15,1,1,10.023,0.2640752086194148
XML100_3213_03,2.0,42,free,11686,11686,11615,10,10,10,1,1,2.026,0.6112785191562634
XML100_3213_03,2.0,43,free,11700,11700,11615,10,10,10,1,1,2.024,0.7318123116659492
XML100_1261_07,30.0,42,free,21777,21777,21667,23,23,23,1,1,30.063,0.5076844971615821
XML100_3213_03,2.0,44,free,11639,11639,11615,10,10,10,1,1,2.025,0.20662935858803272
XML100_1261_07,30.0,43,free,21736,21736,21667,23,23,23,1,1,30.018,0.3184566391286288
XML100_3213_03,5.0,42,free,11686,11686,11615,10,10,10,1,1,5.02,0.6112785191562634
XML100_3213_03,5.0,43,free,11670,11670,11615,10,10,10,1,1,5.018,0.4735256134309083
XML100_1261_07,30.0,44,free,21720,21720,21667,23,23,23,1,1,30.037,0.24461162135967138
XML100_3213_03,5.0,44,free,11639,11639,11615,10,10,10,1,1,5.021,0.20662935858803272
XML100_3213_03,10.0,42,free,11641,11641,11615,10,10,10,1,1,10.018,0.2238484718037021
XML100_3213_03,10.0,43,free,11648,11648,11615,10,10,10,1,1,10.017,0.284115368058545
XML100_3213_03,10.0,44,free,11638,11638,11615,10,10,10,1,1,10.036,0.19801980198019803
XML100_1324_14,2.0,42,free,10749,10749,10734,8,8,8,1,1,2.017,0.13974287311347122
XML100_2272_02,30.0,42,free,9477,9477,9467,14,14,15,1,1,30.027,0.10563008344776592
XML100_1324_14,2.0,43,free,10759,10759,10734,8,8,8,1,1,2.016,0.23290478852245203
